City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Hofn,IS,64.2539,-15.2082,50.25,62,1,12.88,clear sky
188,Flinders,AU,-34.5833,150.8552,59.38,84,99,4.0,overcast clouds
189,Xingcheng,CN,40.6167,120.7167,72.36,55,0,5.21,clear sky
190,Youghal,IE,51.95,-7.8506,52.59,100,100,6.8,light rain
191,Houma,US,29.5958,-90.7195,89.02,72,100,5.95,overcast clouds
192,Wukari,NG,7.85,9.7833,72.18,92,99,2.53,overcast clouds
193,Abu Samrah,SY,35.3029,37.1841,68.52,71,0,7.96,clear sky
194,Saldanha,ZA,-33.0117,17.9442,57.25,85,100,7.61,overcast clouds
195,Conceicao Da Barra,BR,-18.5933,-39.7322,70.12,80,51,4.23,broken clouds
196,Chokurdakh,RU,70.6333,147.9167,75.42,25,24,7.09,few clouds
197,Teya,RU,60.3778,92.6267,55.27,76,93,2.82,overcast clouds
198,Mozarlandia,BR,-14.7447,-50.5706,80.37,29,42,5.77,scattered clouds
199,Paamiut,GL,61.994,-49.6678,41.77,94,91,12.64,overcast clouds
200,Shingu,JP,33.7333,135.9833,71.91,78,100,9.04,overcast clouds
201,Kitimat,CA,54.0524,-128.6534,75.58,35,76,4.25,broken clouds
202,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.33,48,0,3.44,clear sky
203,Matucana,PE,-11.85,-76.4,37.18,62,57,3.24,broken clouds
204,Nemuro,JP,43.3236,145.575,53.78,88,0,8.3,clear sky
205,Vestmannaeyjar,IS,63.4427,-20.2734,48.15,76,100,10.31,overcast clouds
206,Bubaque,GW,11.2833,-15.8333,79.81,76,79,7.63,broken clouds
207,Port Moresby,PG,-9.4431,147.1797,80.02,78,20,3.44,haze
208,Coquimbo,CL,-29.9533,-71.3436,58.73,72,0,3.44,clear sky
209,Vanimo,PG,-2.6741,141.3028,80.17,83,24,5.68,few clouds
210,Gerzat,FR,45.8243,3.144,57.15,88,0,3.44,clear sky
211,Toppenish,US,46.3774,-120.3087,99.36,13,92,16.69,overcast clouds
212,Dawei,MM,14.0833,98.2,75.96,89,96,1.74,overcast clouds
213,Namatanai,PG,-3.6667,152.4333,83.7,71,28,4.0,light rain
214,Celestun,MX,20.8667,-90.4,87.84,69,82,14.16,broken clouds
215,Gat,IL,31.61,34.7642,74.08,100,0,2.42,clear sky
216,Pasighat,IN,28.0667,95.3333,75.9,96,100,1.21,overcast clouds
217,Bulgan,MN,48.8125,103.5347,56.25,84,10,1.1,clear sky
218,Butaritari,KI,3.0707,172.7902,83.08,70,34,7.94,scattered clouds
219,Micoud,LC,13.8167,-60.9,82.38,74,75,17.27,broken clouds
220,Broken Hill,AU,-31.95,141.4333,58.71,55,90,12.66,overcast clouds
221,Zhigansk,RU,66.7697,123.3711,74.89,51,59,3.6,broken clouds
222,Porosozero,RU,62.7191,32.727,68.88,66,2,6.53,clear sky
223,Rancho Palos Verdes,US,33.7445,-118.387,93.67,76,41,1.01,scattered clouds
224,Toguchin,RU,55.2353,84.3858,48.56,98,100,9.28,light rain
225,Aksarka,RU,66.5606,67.7975,43.75,64,51,9.8,broken clouds
226,Foumban,CM,5.7291,10.9001,63.45,95,100,2.01,light rain
